"Plot","Bulk.Density.g.cm3_0.20cm_2017","Bulk.Density.g.cm3_20.40cm_2017","Bulk.Density.g.cm3_40.60cm_2017"
2,1.49,1.62,1.68
3,1.47,1.6,1.66
5,1.46,1.61,1.7
9,1.39,1.52,1.63
11,1.34,1.57,1.68
12,1.39,1.57,1.7
14,1.44,1.62,1.7
16,1.56,1.74,1.78
20,1.39,1.72,1.75
24,1.47,1.72,1.76
27,1.35,1.64,1.73
31,1.42,1.7,1.76
35,1.46,1.71,1.74
44,1.47,1.78,1.75
48,1.48,1.74,1.83
50,1.28,1.68,1.8
56,1.4,1.6,1.73
58,1.44,1.71,1.78
69,1.51,1.62,1.5
70,1.37,1.53,1.61
83,1.47,1.62,1.7
87,1.41,1.67,1.74
93,1.26,1.53,1.62
94,1.36,1.66,1.76
98,1.37,1.66,1.71
104,1.38,1.67,1.83
109,1.54,1.85,1.92
110,1.35,1.62,1.68
117,1.39,1.69,1.71
118,1.5,1.75,1.75
125,1.49,1.71,1.75
126,1.8,1.86,1.81
129,1.55,1.71,1.61
130,1.46,1.73,1.83
133,1.36,1.68,1.82
135,1.51,1.72,1.81
137,1.34,1.91,1.75
138,1.39,1.59,1.59
142,1.56,1.71,1.74
146,1.35,1.57,1.64
156,1.39,1.74,1.72
160,1.49,1.73,1.77
163,1.57,1.74,1.76
164,1.49,1.77,1.84
166,1.54,1.62,1.61
168,1.41,1.71,1.92
171,1.43,1.58,1.58
175,1.29,1.29,2.04
178,1.31,1.59,1.63
185,1.59,1.84,1.85
190,1.5,1.74,1.73
193,1.35,1.59,1.61
197,1.49,1.7,1.7
205,1.45,1.66,1.74
206,1.24,1.6,1.67
208,1.28,1.5,1.51
210,1.33,1.61,1.62
213,1.47,1.73,1.8
224,1.47,1.7,1.76
227,1.33,1.68,1.73
229,1.49,1.62,1.71
230,1.5,1.72,1.74
232,1.33,1.62,1.64
236,1.48,1.66,1.72
237,1.39,1.72,1.73
242,1.39,1.62,1.79
248,1.58,1.81,1.81
265,1.36,1.61,1.69
266,1.34,1.61,1.65
267,1.38,1.69,1.72
268,1.46,1.64,1.68
286,1.4,1.63,1.72
287,1.54,1.64,1.7
290,1.39,1.62,1.6
299,1.25,1.57,1.6
300,1.41,1.6,1.72
301,1.34,1.65,1.7
302,1.4,1.82,1.87
307,1.37,1.67,1.73
308,1.53,1.74,1.84
311,1.48,1.63,1.66
325,1.43,1.73,1.74
328,1.31,1.54,1.61
329,1.34,1.58,1.63
330,1.46,1.76,1.81
331,1.35,1.57,1.65
336,1.32,1.5,1.58
338,1.48,1.67,1.73
339,1.41,1.62,1.64
342,1.36,1.71,1.9
