"Plot","Bulk.Density.g.cm3_0.20cm_2017","Bulk.Density.g.cm3_20.40cm_2017","Bulk.Density.g.cm3_0.20cm_1994"
6,1.46,1.69,1.48
15,1.44,1.68,1.46
22,1.48,1.71,1.49
26,1.4,1.64,1.45
28,1.43,1.67,1.47
29,1.45,1.69,1.46
30,1.4,1.64,1.47
33,1.44,1.68,1.47
34,1.39,1.64,1.47
45,1.45,1.69,1.5
46,1.42,1.66,1.47
53,1.44,1.68,1.48
57,1.44,1.68,1.47
62,1.46,1.69,1.49
67,1.41,1.65,1.48
68,1.39,1.64,1.47
74,1.39,1.64,1.46
75,1.46,1.69,1.47
81,1.42,1.66,1.48
82,1.42,1.66,1.48
89,1.38,1.63,1.44
92,1.38,1.63,1.43
107,1.44,1.68,1.5
108,1.41,1.65,1.46
111,1.41,1.65,1.45
115,1.45,1.69,1.47
136,1.41,1.65,1.45
139,1.38,1.63,1.44
149,1.39,1.64,1.43
157,1.43,1.67,1.44
165,1.39,1.64,1.4
167,1.45,1.69,1.48
169,1.42,1.66,1.48
170,1.44,1.68,1.47
174,1.39,1.64,1.42
176,1.44,1.68,1.42
177,1.38,1.63,1.42
186,1.39,1.64,1.38
199,1.38,1.63,1.43
201,1.37,1.62,1.43
202,1.26,1.53,1.36
211,1.41,1.65,1.44
220,1.42,1.66,1.47
223,1.41,1.65,1.44
225,1.4,1.64,1.43
233,1.3,1.57,1.34
234,1.32,1.58,1.41
235,1.32,1.58,1.41
239,1.37,1.62,1.43
253,1.4,1.64,1.44
257,1.35,1.6,1.41
259,1.37,1.62,1.42
273,1.17,1.47,1.28
278,1.45,1.69,1.47
280,1.42,1.66,1.45
282,1.44,1.68,1.43
283,1.44,1.68,1.43
291,1.43,1.67,1.46
292,1.39,1.64,1.42
293,1.38,1.63,1.44
303,1.42,1.66,1.44
304,1.41,1.66,1.42
313,1.43,1.67,1.52
318,1.4,1.65,1.35
324,1.45,1.69,1.45
334,1.42,1.66,1.41
335,1.45,1.69,1.43
2,1.49,1.62,1.48
3,1.47,1.6,1.46
5,1.46,1.61,1.47
9,1.39,1.52,1.49
11,1.34,1.57,1.48
12,1.39,1.57,1.45
14,1.44,1.62,1.44
16,1.56,1.74,1.44
20,1.39,1.72,1.48
24,1.47,1.72,1.48
27,1.35,1.64,1.42
31,1.42,1.7,1.51
35,1.46,1.71,1.46
44,1.47,1.78,1.46
48,1.48,1.74,1.48
50,1.28,1.68,1.49
56,1.4,1.6,1.48
58,1.44,1.71,1.5
69,1.51,1.62,1.48
70,1.37,1.53,1.47
83,1.47,1.62,1.44
87,1.41,1.67,1.47
93,1.26,1.53,1.48
94,1.36,1.66,1.44
98,1.37,1.66,1.43
104,1.38,1.67,1.45
109,1.54,1.85,1.48
110,1.35,1.62,1.48
117,1.39,1.69,1.48
118,1.5,1.75,1.46
125,1.49,1.71,1.44
129,1.55,1.71,1.43
130,1.46,1.73,1.38
133,1.36,1.68,1.49
135,1.51,1.72,1.45
137,1.34,1.91,1.45
138,1.39,1.59,1.42
142,1.56,1.71,1.46
146,1.35,1.57,1.43
156,1.39,1.74,1.46
160,1.49,1.73,1.46
163,1.57,1.74,1.41
164,1.49,1.77,1.46
168,1.41,1.71,1.46
171,1.43,1.58,1.46
175,1.29,1.29,1.46
178,1.31,1.59,1.32
185,1.59,1.84,1.42
190,1.5,1.74,1.4
193,1.35,1.59,1.47
197,1.49,1.7,1.4
205,1.45,1.66,1.43
206,1.24,1.6,1.41
208,1.28,1.5,1.43
210,1.33,1.61,1.44
213,1.47,1.73,1.47
224,1.47,1.7,1.44
227,1.33,1.68,1.44
229,1.49,1.62,1.43
230,1.5,1.72,1.44
232,1.33,1.62,1.36
236,1.48,1.66,1.45
237,1.39,1.72,1.42
242,1.39,1.62,1.45
265,1.36,1.61,1.44
266,1.34,1.61,1.42
267,1.38,1.69,1.36
268,1.46,1.64,1.36
286,1.4,1.63,1.46
287,1.54,1.64,1.46
290,1.39,1.62,1.46
299,1.25,1.57,1.45
300,1.41,1.6,1.46
301,1.34,1.65,1.45
302,1.4,1.82,1.43
307,1.37,1.67,1.44
308,1.53,1.74,1.45
311,1.48,1.63,1.42
325,1.43,1.73,1.45
328,1.31,1.54,1.47
329,1.34,1.58,1.45
330,1.46,1.76,1.42
331,1.35,1.57,1.43
336,1.32,1.5,1.44
338,1.48,1.67,1.46
339,1.41,1.62,1.45
342,1.36,1.71,1.45
